timestamp,yaw,pitch,roll,raw accel x,raw accel y,raw accel z,raw gyro x,raw gyro y,raw gyro z,filtered accel x,filtered accel y,filtered accel z,filtered gyro x,filtered gyro y,filtered gyro z,angle out yaw,angle out pitch,angle out roll,rate out yaw,rate out pitch,rate out roll,motor 1,motor 2 ,motor 3,motor 4,mag heading,throttle,voltage
20779573,-168.09,-3.42,0.16,0.04,0,1,-0.04,-0.23,-0.6,0.03,0,1,-0.03,-0.31,-0.65,0,0.98,-0.52,0.1,3.35,-2.08,1000,1020.91,1000,1005.41,183.39,0,3.78
20789605,-168.1,-3.42,0.16,0.03,0,1,-0.04,-0.31,-0.6,0.03,0,1,-0.03,-0.31,-0.65,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,190.31,0,3.79
20843249,-168.15,-3.42,0.16,0.04,0,0.99,-0.04,-0.31,-0.66,0.03,0,1,-0.03,-0.31,-0.65,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,188.91,0,3.8
20860943,-168.23,-3.42,0.16,0.04,0,1,0.01,-0.36,-0.6,0.03,0,1,-0.03,-0.31,-0.65,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,182.87,0,3.79
20878801,-168.24,-3.43,0.16,0.03,0,0.99,-0.04,-0.4,-0.54,0.03,0,1,-0.03,-0.31,-0.65,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,191.58,0,3.74
20884515,-168.26,-3.43,0.16,0.04,0,0.99,0.01,-0.27,-0.66,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,179.93,0,3.79
20888036,-168.27,-3.43,0.16,0.03,0,1,-0.04,-0.23,-0.6,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,184.04,0,3.79
20889056,-168.27,-3.43,0.16,0.03,0,0.99,-0.04,-0.23,-0.6,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,184.04,0,3.79
20890267,-168.27,-3.43,0.16,0.04,0,0.99,-0.04,-0.31,-0.6,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,184.04,0,3.79
20895617,-168.28,-3.43,0.16,0.03,0,1,0.01,-0.36,-0.72,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,184.04,0,3.77
20898947,-168.29,-3.43,0.16,0.03,0,1,-0.04,-0.31,-0.72,0.03,0,1,-0.03,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,184.04,0,3.79
20903998,-168.29,-3.43,0.16,0.03,0,1,-0.08,-0.36,-0.66,0.03,0,1,-0.04,-0.31,-0.64,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.91,1000,1005.41,189.65,0,3.79
20907281,-168.3,-3.43,0.16,0.04,0,0.99,0.01,-0.27,-0.66,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,189.65,0,3.79
20910805,-168.3,-3.43,0.16,0.03,0,1,0.01,-0.27,-0.66,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,189.12,0,3.8
20911823,-168.3,-3.43,0.16,0.03,0,1,-0.04,-0.23,-0.66,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,189.12,0,3.79
20912831,-168.3,-3.43,0.16,0.04,0,1,-0.08,-0.27,-0.6,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,189.12,0,3.79
20916408,-168.31,-3.43,0.16,0.03,0,1,-0.04,-0.31,-0.6,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,187.9,0,3.79
20917459,-168.31,-3.43,0.16,0.03,0,0.99,-0.04,-0.31,-0.6,0.03,0,1,-0.04,-0.31,-0.63,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,187.9,0,3.79
20918474,-168.31,-3.43,0.16,0.03,0,0.99,-0.04,-0.31,-0.6,0.03,0,1,-0.04,-0.31,-0.62,0,0.98,-0.52,0.1,3.36,-2.08,1000,1020.92,1000,1005.41,187.9,0,3.79
