59022719,-76.09,-1.12,-1.17,0,-0.02,0.99,-0.03,-0.02,0.03,0.02,-0.02,0.99,0.01,-0.06,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,283.48,0,3.84
59023708,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,-0.02,0.03,0.02,-0.02,0.99,0.01,-0.06,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,283.48,0,3.85
59027244,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,0.1,0.09,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,283.54,0,3.85
59028149,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,0.04,0.09,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,283.54,0,3.85
59040158,-76.09,-1.12,-1.17,0,-0.02,0.99,-0.03,-0.02,0.09,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,283.54,0,3.84
59043689,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,-0.02,0.03,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,282.96,0,3.85
59044642,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,-0.02,0.03,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,282.96,0,3.85
59045540,-76.09,-1.12,-1.17,0,-0.02,0.99,0.03,-0.02,0.09,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.86,282.96,0,3.85
59046441,-76.09,-1.12,-1.17,0,-0.02,0.99,-0.03,-0.02,0.09,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.85,282.96,0,3.85
59049887,-76.09,-1.12,-1.17,0,-0.02,0.99,-0.03,0.04,0.03,0.02,-0.02,0.99,0.01,-0.05,0.02,0,0.66,0.66,0.1,2.48,2.49,1000,1000,1000,1019.85,283.07,0,3.85
