timestamp,yaw,pitch,roll,raw accel x,raw accel y,raw accel z,raw gyro x,raw gyro y,raw gyro z,filtered accel x,filtered accel y,filtered accel z,filtered gyro x,filtered gyro y,filtered gyro z,angle out yaw,angle out pitch,angle out roll,rate out yaw,rate out pitch,rate out roll,motor 1,motor 2 ,motor 3,motor 4,mag heading,throttle,voltage
36452807,22.08,-0.89,2.32,0.04,0.01,1,0.08,-0.03,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.13,1001.76,1000,24.33,0,3.87
36456689,22.07,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.13,1001.76,1000,21.88,0,3.91
36491888,22.08,-0.89,2.32,0.04,0.02,0.99,0.08,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,23.65,0,3.92
36496333,22.08,-0.89,2.32,0.04,0.02,1,-0.04,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,23.65,0,3.9
36541551,22.08,-0.89,2.32,0.04,0.02,1,0.02,0.03,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,21.82,0,3.92
36549378,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.12,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,23.62,0,3.91
36554485,22.09,-0.89,2.32,0.04,0.02,1,-0.04,-0.09,-0.12,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,21.81,0,3.98
36555637,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.09,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,21.81,0,3.9
36559123,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,22.97,0,3.94
36560326,22.09,-0.89,2.32,0.04,0.02,1,0.14,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,22.97,0,3.91
36561485,22.09,-0.89,2.32,0.04,0.02,1,0.08,-0.03,-0.12,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,22.97,0,3.91
36565108,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.09,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,22.97,0,3.91
36566288,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.76,1000,22.97,0,3.91
36567442,22.09,-0.89,2.32,0.04,0.02,1,0.08,-0.03,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.75,1000,22.97,0,3.85
36570914,22.09,-0.89,2.32,0.04,0.02,1,0.02,0.03,0,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.75,1000,20.47,0,3.88
36572080,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.12,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.75,1000,20.47,0,3.91
36573232,22.09,-0.89,2.32,0.04,0.02,1,-0.04,0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.08,2.39,-2.92,1000,1021.14,1001.75,1000,20.47,0,3.91
36576684,22.09,-0.89,2.32,0.04,0.02,1,-0.04,0.03,-0.12,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.14,1001.75,1000,21.84,0,3.9
36577878,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.14,1001.75,1000,21.84,0,3.9
36579048,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.15,1001.75,1000,21.84,0,3.9
36582514,22.09,-0.89,2.32,0.04,0.02,1,0.02,-0.09,-0.06,0.01,0.04,1,0.02,-0.02,-0.09,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.15,1001.75,1000,21.29,0,3.9
36583736,22.09,-0.89,2.32,0.04,0.02,1,-0.04,-0.09,-0.06,0.01,0.04,1,0.02,-0.02,-0.08,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.15,1001.75,1000,21.29,0,3.97
36584938,22.08,-0.89,2.32,0.04,0.02,1,-0.04,-0.03,-0.06,0.01,0.04,1,0.02,-0.02,-0.08,0,0.62,-0.82,-0.09,2.39,-2.92,1000,1021.15,1001.75,1000,21.29,0,3.9
